Date,7/23/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,38170,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,4978934,
,,
Sample,CPM,Kill
MD_RTLC_01,22583.7,T
MD_RTLC_01,343912,F
MD_RTLC_01,324962,F
MD_RTLC_01,331371,F
MD_RTLC_02,23910.5,T
MD_RTLC_02,366904,F
MD_RTLC_02,398146,F
MD_RTLC_02,325152,F
MD_RTLC_03,13637,T
MD_RTLC_03,327565,F
MD_RTLC_03,343186,F
MD_RTLC_03,318515,F
MD_RTLC_04,12315.1,T
MD_RTLC_04,198527,F
MD_RTLC_04,175054,F
MD_RTLC_04,178057,F
MD_RTLC_05,5503,T
MD_RTLC_05,64244.6,F
MD_RTLC_05,67974.5,F
MD_RTLC_05,62854.2,F
MD_RTLC_06,7065.5,T
MD_RTLC_06,57580.6,F
MD_RTLC_06,55052.8,F
MD_RTLC_06,51399.7,F
MD_RTLC_07,9696,T
MD_RTLC_07,67634.2,F
MD_RTLC_07,74856.3,F
MD_RTLC_07,64757.5,F
MD_RTLC_08,9376,T
MD_RTLC_08,59762.3,F
MD_RTLC_08,57551.3,F
MD_RTLC_08,56132.2,F
MD_RTLC_09,5150.1,T
MD_RTLC_09,40521.2,F
MD_RTLC_09,40455.2,F
MD_RTLC_09,41984.6,F
MD_RTLC_10,10240.1,T
MD_RTLC_10,58409,F
MD_RTLC_10,63344.8,F
MD_RTLC_10,62671.6,F
