Date,6/28/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,38036,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,5307787,
,,
Sample,CPM,Kill
MD_RTLC_11,87775.9,T
MD_RTLC_11,545719,F
MD_RTLC_11,620980,F
MD_RTLC_11,620950,F
MD_RTLC_12,74169.7,T
MD_RTLC_12,517591,F
MD_RTLC_12,480282,F
MD_RTLC_12,477099,F
MD_RTLC_13,75640.5,T
MD_RTLC_13,643187,F
MD_RTLC_13,672666,F
MD_RTLC_13,590659,F
MD_RTLC_14,26150,T
MD_RTLC_14,214422,F
MD_RTLC_14,209230,F
MD_RTLC_14,195674,F
MD_RTLC_15,14478.6,T
MD_RTLC_15,154354,F
MD_RTLC_15,160423,F
MD_RTLC_15,157132,F
MD_RTLC_16,10456.5,T
MD_RTLC_16,108322,F
MD_RTLC_16,92618,F
MD_RTLC_16,108618,F
MD_RTLC_17,15576.5,T
MD_RTLC_17,89471.5,F
MD_RTLC_17,87635.3,F
MD_RTLC_17,96330.2,F
MD_RTLC_18,12128.5,T
MD_RTLC_18,99248.2,F
MD_RTLC_18,89749.7,F
MD_RTLC_18,89708.4,F
MD_RTLC_19,9532.1,T
MD_RTLC_19,51488.1,F
MD_RTLC_19,56792.7,F
MD_RTLC_19,57862,F
MD_RTLC_20,9670.1,T
MD_RTLC_20,61781.3,F
MD_RTLC_20,59769.2,F
MD_RTLC_20,55877.5,F
MD_RTLC_21,9303,T
MD_RTLC_21,40093.1,F
MD_RTLC_21,50250.7,F
MD_RTLC_21,58534.1,F
MD_RTLC_22,6978,T
MD_RTLC_22,41277.5,F
MD_RTLC_22,44222.7,F
MD_RTLC_22,46007,F
MD_RTLC_23,10165.1,T
MD_RTLC_23,68122.6,F
MD_RTLC_23,61738.5,F
MD_RTLC_23,67405.6,F
MD_RTLC_24,12242.5,T
MD_RTLC_24,59350.7,F
MD_RTLC_24,61468.7,F
MD_RTLC_24,59303.1,F
